run_id,replication_id,condition_id,calibration_ratio,funding_intensity,market_intensity,price_impact_lambda,market_event_probability,cash_scenario,population,horizon,stress_budget,funding_budget,market_budget,market_event_loss_fraction,target_cumulative_funding,target_cumulative_market_loss,event_count,exit_rate,rmst_days,final_asset_price,asset_price_loss,mean_final_equity,mean_equity_loss,p90_equity_loss,worst_10pct_mean_equity_loss,mean_final_cash,mean_final_liabilities,mean_liability_reduction,mean_total_funding_requested,mean_total_funding_repaid,mean_total_unpaid,mean_forced_sale_proceeds,mean_market_value_loss,mean_fire_sale_value_loss
rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline__sensitivity-0066,sensitivity-0066,rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline,1,2,2,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0.0239394549702,0.15,0.15,0,0,30,0.926677978133,0.0733220218668,0.848636832134,0.151363167866,0.18296823631,0.188786144272,0.00587622190767,1.0301268503,0.150055251202,0.150055251202,0.150055251202,1.30104260698e-19,0.0439828143629,0.144765040954,0.00659812691211
rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline__sensitivity-0067,sensitivity-0067,rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline,1,2,2,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0.0239394549702,0.15,0.15,0,0,30,0.949147832951,0.0508521670492,0.893347676369,0.106652323631,0.128863420505,0.133201255291,0.00662097988448,1.05833038358,0.148265869865,0.148265869865,0.148265869865,9.10729824888e-20,0.0491847901032,0.0992737903224,0.0073785333083
rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline__sensitivity-0068,sensitivity-0068,rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline,1,2,2,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0.0239394549702,0.15,0.15,0,0,30,0.904247925306,0.0957520746945,0.799037656643,0.200962343357,0.244303033774,0.248252022614,0.00618795719644,1.06620585906,0.149433930149,0.149433930149,0.149433930149,1.34441069388e-19,0.0476850786723,0.193808812485,0.00715353087191
rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline__sensitivity-0069,sensitivity-0069,rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline,1,2,2,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0.0239394549702,0.15,0.15,0,0,30,0.882595416063,0.117404583937,0.755466625476,0.244533374524,0.294654879728,0.304309226303,0.00668514809978,1.05782863246,0.151056630293,0.151056630293,0.151056630293,1.69135538908e-19,0.0474365125006,0.237417060179,0.00711631434435
rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline__sensitivity-0070,sensitivity-0070,rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline,1,2,2,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0.0239394549702,0.15,0.15,0,0,30,0.92596567101,0.0740343289902,0.84646320799,0.15353679201,0.188311863504,0.191974249808,0.0027544961946,1.03003129162,0.150245433839,0.150245433839,0.150245433839,1.51788304148e-19,0.0541454319621,0.145414006607,0.00812278540366
rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline__sensitivity-0071,sensitivity-0071,rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline,1,2,2,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0.0239394549702,0.15,0.15,0,0,30,0.949427476494,0.0505725235055,0.896065686005,0.103934313995,0.129742479884,0.13279040692,0.00500362342595,1.01868581527,0.148214731182,0.148214731182,0.148214731182,7.3725747729e-20,0.0444158274559,0.0972712381011,0.00666307589356
rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline__sensitivity-0072,sensitivity-0072,rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline,1,2,2,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0.0239394549702,0.15,0.15,0,0,30,0.996907627945,0.00309237205543,0.993669518968,0.00633048103198,0.00772382726807,0.00802280633904,0.00802198474179,1.03288183206,0.147671904969,0.147671904969,0.147671904969,4.33680868994e-21,0.0421993043564,0,0.00633048103198
rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline__sensitivity-0073,sensitivity-0073,rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline,1,2,2,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0.0239394549702,0.15,0.15,0,0,30,0.926621051964,0.0733789480359,0.850049683195,0.149950316805,0.185873393645,0.19115401096,0.00614597206275,1.00908977909,0.152113177337,0.152113177337,0.152113177337,1.30104260698e-19,0.044286755144,0.143306562698,0.00664375410683
rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline__sensitivity-0074,sensitivity-0074,rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline,1,2,2,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0.0239394549702,0.15,0.15,0,0,30,0.996100697079,0.00389930292065,0.992028258377,0.00797174162255,0.0100402582118,0.0102456959333,0.00495758806551,1.02144754832,0.151025994001,0.151025994001,0.151025994001,0,0.0531391278722,0,0.00797174162255
rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline__sensitivity-0075,sensitivity-0075,rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline,1,2,2,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0.0239394549702,0.15,0.15,0,0,30,0.972578055303,0.0274219446965,0.943079673377,0.0569203266235,0.0691273482185,0.0705692947161,0.00633929934712,1.0437452726,0.151484340085,0.151484340085,0.151484340085,3.46944695195e-20,0.0480610463039,0.0497103922754,0.00720993434806
rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline__sensitivity-0076,sensitivity-0076,rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline,1,2,2,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0.0239394549702,0.15,0.15,0,0,30,0.904430202831,0.0955697971688,0.798075642179,0.201924357821,0.237984049961,0.246927514755,0.00785747001357,1.0830307962,0.148819583589,0.148819583589,0.148819583589,1.43114686768e-19,0.0453415359669,0.195122364655,0.00680199316672
rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline__sensitivity-0077,sensitivity-0077,rho_1_fund_2_market_2_lambda_0p15_p_0p1_cash_baseline,1,2,2,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0.0239394549702,0.15,0.15,0,0,30,0.949350738827,0.0506492611731,0.893418391563,0.106581608437,0.131643870324,0.133939927004,0.00707023082094,1.07541655356,0.148839643637,0.148839643637,0.148839643637,8.23993651089e-20,0.0471197668715,0.0995129167585,0.00706869167869
