sensitivity,outcome,scenario,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
market_frequency,worst_10pct_mean_equity_loss,0.1,0,0,100,3.13082892944e-17,2.79566570914e-18,2.57571741713e-17,3.66373598127e-17,2.42292265459e-17,3.8387352043e-17
market_frequency,worst_10pct_mean_equity_loss,0.1,0,1,100,0.100811471695,0.00543588918361,0.0907288168983,0.112321347788,0.0870469502434,0.114575993147
market_frequency,worst_10pct_mean_equity_loss,0.1,0,2,100,0.20107623526,0.0106172031751,0.181343740304,0.223649028103,0.174191816552,0.227960653967
market_frequency,worst_10pct_mean_equity_loss,0.1,1,0,100,0.000842918550658,1.91254489922e-05,0.000806393790004,0.000882298682629,0.000794489923062,0.000891347178254
market_frequency,worst_10pct_mean_equity_loss,0.1,1,1,100,0.101640653419,0.00543297213093,0.0915655301227,0.113164067531,0.0878835184013,0.115397788438
market_frequency,worst_10pct_mean_equity_loss,0.1,1,2,100,0.201891275873,0.0106137227612,0.182161890765,0.224447600056,0.175015670117,0.228766881628
market_frequency,worst_10pct_mean_equity_loss,0.1,2,0,100,0.0085719461009,7.96282535251e-05,0.00841422580767,0.00872879678055,0.00837031491108,0.00877357729072
market_frequency,worst_10pct_mean_equity_loss,0.1,2,1,100,0.109024469291,0.0054129523984,0.0989859027764,0.120426531635,0.0953180273666,0.122730911216
market_frequency,worst_10pct_mean_equity_loss,0.1,2,2,100,0.208924172719,0.0105776871386,0.189218947082,0.231344741687,0.182139814795,0.235708530642
market_frequency,worst_10pct_mean_equity_loss,0.2,0,0,100,3.13082892944e-17,2.79566570914e-18,2.57571741713e-17,3.66373598127e-17,2.42292265459e-17,3.8387352043e-17
market_frequency,worst_10pct_mean_equity_loss,0.2,0,1,100,0.0949155179845,0.00355347541443,0.087969781998,0.102112253959,0.0859175625594,0.10391347341
market_frequency,worst_10pct_mean_equity_loss,0.2,0,2,100,0.189611472832,0.00697596289234,0.175905490965,0.203776231429,0.171947243921,0.207275701744
market_frequency,worst_10pct_mean_equity_loss,0.2,1,0,100,0.000842918550658,1.91254489922e-05,0.000806393790004,0.000882298682629,0.000794489923062,0.000891347178254
