calibration_ratio,replication_id,outcome,liquidity_effect,market_effect,channel_difference
0.5,primary-0041,exit_rate,0.356666666667,0.261666666667,0.095
0.5,primary-0041,rmst_days,3.02833333333,3.25166666667,-0.223333333333
0.5,primary-0042,exit_rate,0.368333333333,0.261666666667,0.106666666667
0.5,primary-0042,rmst_days,3.12166666667,2.795,0.326666666667
0.5,primary-0043,exit_rate,0.283333333333,0.38,-0.0966666666667
0.5,primary-0043,rmst_days,3.57166666667,6.005,-2.43333333333
0.5,primary-0044,exit_rate,0.305,0.02,0.285
0.5,primary-0044,rmst_days,1.73833333333,0.113333333333,1.625
0.5,primary-0045,exit_rate,0.325,0.34,-0.015
0.5,primary-0045,rmst_days,3.28333333333,4.295,-1.01166666667
0.5,primary-0046,exit_rate,0.3,0.361666666667,-0.0616666666667
0.5,primary-0046,rmst_days,3.395,3.31166666667,0.0833333333333
0.5,primary-0047,exit_rate,0.291666666667,0.373333333333,-0.0816666666667
0.5,primary-0047,rmst_days,3.96666666667,7.92833333333,-3.96166666667
0.5,primary-0048,exit_rate,0.383333333333,0.136666666667,0.246666666667
0.5,primary-0048,rmst_days,2.01166666667,0.228333333333,1.78333333333
0.5,primary-0049,exit_rate,0.348333333333,0.16,0.188333333333
0.5,primary-0049,rmst_days,1.27833333333,0.243333333333,1.035
0.5,primary-0050,exit_rate,0.291666666667,0.0316666666667,0.26
0.5,primary-0050,rmst_days,1.66666666667,0.106666666667,1.56
0.5,primary-0051,exit_rate,0.358333333333,0.155,0.203333333333
0.5,primary-0051,rmst_days,1.31166666667,0.121666666667,1.19
0.5,primary-0052,exit_rate,0.363333333333,0.121666666667,0.241666666667
0.5,primary-0052,rmst_days,2.45,1.34833333333,1.10166666667
0.5,primary-0053,exit_rate,0.365,0.136666666667,0.228333333333
0.5,primary-0053,rmst_days,2.32166666667,0.853333333333,1.46833333333
0.5,primary-0054,exit_rate,0.375,0.141666666667,0.233333333333
0.5,primary-0054,rmst_days,1.92833333333,0.756666666667,1.17166666667
0.5,primary-0055,exit_rate,0.326666666667,0.338333333333,-0.0116666666667
0.5,primary-0055,rmst_days,4.075,5.31166666667,-1.23666666667
0.5,primary-0056,exit_rate,0.348333333333,0.158333333333,0.19
0.5,primary-0056,rmst_days,1.86333333333,0.528333333333,1.335
0.5,primary-0057,exit_rate,0.351666666667,0.273333333333,0.0783333333333
0.5,primary-0057,rmst_days,3.29833333333,3.48,-0.181666666667
0.5,primary-0058,exit_rate,0.235,0,0.235
0.5,primary-0058,rmst_days,1.22,-0,1.22
0.5,primary-0059,exit_rate,0.245,0.03,0.215
0.5,primary-0059,rmst_days,1.27,0.105,1.165
0.5,primary-0060,exit_rate,0.346666666667,0.276666666667,0.07
0.5,primary-0060,rmst_days,3.55666666667,4.86,-1.30333333333
0.5,primary-0061,exit_rate,0.315,0.336666666667,-0.0216666666667
0.5,primary-0061,rmst_days,3.7,5.34166666667,-1.64166666667
0.5,primary-0062,exit_rate,0.35,0.283333333333,0.0666666666667
0.5,primary-0062,rmst_days,2.70833333333,2.20333333333,0.505
0.5,primary-0063,exit_rate,0.331666666667,0.333333333333,-0.00166666666667
0.5,primary-0063,rmst_days,3.215,3.67666666667,-0.461666666667
0.5,primary-0064,exit_rate,0.371666666667,0.273333333333,0.0983333333333
0.5,primary-0064,rmst_days,3.64833333333,4.61333333333,-0.965
0.5,primary-0065,exit_rate,0.325,0.338333333333,-0.0133333333333
0.5,primary-0065,rmst_days,3.08666666667,3.63166666667,-0.545
0.5,primary-0066,exit_rate,0.348333333333,0.276666666667,0.0716666666667
0.5,primary-0066,rmst_days,2.48,1.94,0.54
0.5,primary-0067,exit_rate,0.316666666667,0.345,-0.0283333333333
0.5,primary-0067,rmst_days,2.17166666667,2.15,0.0216666666667
0.5,primary-0068,exit_rate,0.318333333333,0.165,0.153333333333
0.5,primary-0068,rmst_days,2.975,2.13166666667,0.843333333333
0.5,primary-0069,exit_rate,0.211666666667,0.405,-0.193333333333
0.5,primary-0069,rmst_days,3.63,8.96833333333,-5.33833333333
0.5,primary-0070,exit_rate,0.248333333333,0.405,-0.156666666667
0.5,primary-0070,rmst_days,3.53333333333,6.625,-3.09166666667
0.5,primary-0071,exit_rate,0.361666666667,0.28,0.0816666666667
0.5,primary-0071,rmst_days,3.05833333333,2.56166666667,0.496666666667
0.5,primary-0072,exit_rate,0.32,0.345,-0.025
0.5,primary-0072,rmst_days,3.04833333333,2.79,0.258333333333
0.5,primary-0073,exit_rate,0.326666666667,0.168333333333,0.158333333333
0.5,primary-0073,rmst_days,1.58,0.701666666667,0.878333333333
0.5,primary-0074,exit_rate,0.276666666667,0.39,-0.113333333333
0.5,primary-0074,rmst_days,3.43,6.93666666667,-3.50666666667
0.5,primary-0075,exit_rate,0.28,0.025,0.255
0.5,primary-0075,rmst_days,1.35166666667,0.0766666666667,1.275
0.5,primary-0076,exit_rate,0.313333333333,0.348333333333,-0.035
0.5,primary-0076,rmst_days,3.965,7.06,-3.095
0.5,primary-0077,exit_rate,0.381666666667,0.131666666667,0.25
0.5,primary-0077,rmst_days,3.3,2.275,1.025
0.5,primary-0078,exit_rate,0.296666666667,0.0316666666667,0.265
0.5,primary-0078,rmst_days,1.63,-0,1.63
0.5,primary-0079,exit_rate,0.376666666667,0.143333333333,0.233333333333
0.5,primary-0079,rmst_days,2.03333333333,0.891666666667,1.14166666667
0.5,primary-0080,exit_rate,0.295,0.025,0.27
0.5,primary-0080,rmst_days,1.435,0.025,1.41
0.5,primary-0081,exit_rate,0.346666666667,0.151666666667,0.195
0.5,primary-0081,rmst_days,2.32833333333,1.33,0.998333333333
0.5,primary-0082,exit_rate,0.233333333333,0.408333333333,-0.175
0.5,primary-0082,rmst_days,2.93833333333,5.25,-2.31166666667
0.5,primary-0083,exit_rate,0.398333333333,0.133333333333,0.265
0.5,primary-0083,rmst_days,2.33666666667,0.698333333333,1.63833333333
0.5,primary-0084,exit_rate,0.29,0.375,-0.085
0.5,primary-0084,rmst_days,3.00666666667,5.06,-2.05333333333
0.5,primary-0085,exit_rate,0.345,0.151666666667,0.193333333333
0.5,primary-0085,rmst_days,2.79,1.73666666667,1.05333333333
0.5,primary-0086,exit_rate,0.331666666667,0.331666666667,0
0.5,primary-0086,rmst_days,3.24666666667,3.81166666667,-0.565
0.5,primary-0087,exit_rate,0.286666666667,0.376666666667,-0.09
0.5,primary-0087,rmst_days,3.07333333333,4.685,-1.61166666667
0.5,primary-0088,exit_rate,0.338333333333,0.276666666667,0.0616666666667
0.5,primary-0088,rmst_days,2.69333333333,2.56333333333,0.13
0.5,primary-0089,exit_rate,0.368333333333,0.281666666667,0.0866666666667
0.5,primary-0089,rmst_days,3.04,3.24,-0.2
0.5,primary-0090,exit_rate,0.315,0.35,-0.035
0.5,primary-0090,rmst_days,2.97666666667,3.42333333333,-0.446666666667
0.5,primary-0091,exit_rate,0.291666666667,0.371666666667,-0.08
0.5,primary-0091,rmst_days,3.43333333333,6.63,-3.19666666667
0.5,primary-0092,exit_rate,0.286666666667,0.38,-0.0933333333333
0.5,primary-0092,rmst_days,3.67166666667,6.765,-3.09333333333
0.5,primary-0093,exit_rate,0.261666666667,0.0216666666667,0.24
0.5,primary-0093,rmst_days,1.52333333333,0.0833333333333,1.44
0.5,primary-0094,exit_rate,0.288333333333,0.0233333333333,0.265
0.5,primary-0094,rmst_days,1.50666666667,0.0516666666667,1.455
0.5,primary-0095,exit_rate,0.316666666667,0.345,-0.0283333333333
0.5,primary-0095,rmst_days,2.16833333333,1.60833333333,0.56
0.5,primary-0096,exit_rate,0.376666666667,0.263333333333,0.113333333333
0.5,primary-0096,rmst_days,3.47,2.17833333333,1.29166666667
0.5,primary-0097,exit_rate,0.358333333333,0.273333333333,0.085
0.5,primary-0097,rmst_days,1.945,0.841666666667,1.10333333333
0.5,primary-0098,exit_rate,0.3,0.03,0.27
0.5,primary-0098,rmst_days,1.25833333333,0.0433333333333,1.215
0.5,primary-0099,exit_rate,0.265,0,0.265
0.5,primary-0099,rmst_days,1.445,-0,1.445
0.5,primary-0100,exit_rate,0.338333333333,0.173333333333,0.165
0.5,primary-0100,rmst_days,1.41333333333,0.59,0.823333333333
0.5,primary-0101,exit_rate,0.31,0,0.31
0.5,primary-0101,rmst_days,1.665,-0,1.665
0.5,primary-0102,exit_rate,0.37,0.275,0.095
0.5,primary-0102,rmst_days,3.75166666667,5.19333333333,-1.44166666667
0.5,primary-0103,exit_rate,0.373333333333,0.265,0.108333333333
0.5,primary-0103,rmst_days,3.19,2.89833333333,0.291666666667
0.5,primary-0104,exit_rate,0.29,0,0.29
0.5,primary-0104,rmst_days,1.505,-0,1.505
0.5,primary-0105,exit_rate,0.353333333333,0.158333333333,0.195
0.5,primary-0105,rmst_days,1.80666666667,0.688333333333,1.11833333333
0.5,primary-0106,exit_rate,0.365,0.146666666667,0.218333333333
0.5,primary-0106,rmst_days,1.88833333333,0.336666666667,1.55166666667
0.5,primary-0107,exit_rate,0.295,0,0.295
0.5,primary-0107,rmst_days,1.495,-0,1.495
0.5,primary-0108,exit_rate,0.353333333333,0.28,0.0733333333333
0.5,primary-0108,rmst_days,2.18666666667,1.63666666667,0.55
0.5,primary-0109,exit_rate,0.35,0.156666666667,0.193333333333
0.5,primary-0109,rmst_days,3.17666666667,2.21333333333,0.963333333333
0.5,primary-0110,exit_rate,0.333333333333,0.33,0.00333333333333
0.5,primary-0110,rmst_days,4.26,8.23333333333,-3.97333333333
0.5,primary-0111,exit_rate,0.261666666667,0.385,-0.123333333333
0.5,primary-0111,rmst_days,3.85,8.70166666667,-4.85166666667
0.5,primary-0112,exit_rate,0.285,0.38,-0.095
0.5,primary-0112,rmst_days,3.39666666667,5.95,-2.55333333333
0.5,primary-0113,exit_rate,0.328333333333,0.165,0.163333333333
0.5,primary-0113,rmst_days,1.56833333333,0.723333333333,0.845
