calibration_ratio,liquidity_intensity,market_intensity,day,mean_survival,sd_survival,runs
0.5,1,1,21,0.9671,0.105609454046,200
0.5,1,1,22,0.95695,0.11962335153,200
0.5,1,1,23,0.943,0.142077196088,200
0.5,1,1,24,0.93305,0.162722433771,200
0.5,1,1,25,0.91395,0.189940211434,200
0.5,1,1,26,0.89435,0.221119984937,200
0.5,1,1,27,0.8725,0.239706164347,200
0.5,1,1,28,0.8526,0.25845548201,200
0.5,1,1,29,0.8255,0.275665936493,200
0.5,1,1,30,0.79345,0.29494671608,200
0.5,1,2,1,1,0,200
0.5,1,2,2,1,0,200
0.5,1,2,3,1,0,200
0.5,1,2,4,1,0,200
0.5,1,2,5,0.99365,0.044857983609,200
0.5,1,2,6,0.99305,0.0491556598417,200
0.5,1,2,7,0.9844,0.0758777117188,200
0.5,1,2,8,0.97525,0.104918908624,200
0.5,1,2,9,0.9689,0.117395479012,200
0.5,1,2,10,0.95915,0.138838605191,200
0.5,1,2,11,0.94,0.16967009076,200
0.5,1,2,12,0.91365,0.210126015074,200
0.5,1,2,13,0.8921,0.234434184655,200
0.5,1,2,14,0.8634,0.26278263559,200
0.5,1,2,15,0.8274,0.289253483798,200
0.5,1,2,16,0.79185,0.319023443161,200
0.5,1,2,17,0.77255,0.333489239503,200
0.5,1,2,18,0.74105,0.348856563662,200
0.5,1,2,19,0.69995,0.372118068338,200
0.5,1,2,20,0.66915,0.385945002852,200
0.5,1,2,21,0.6315,0.39883593181,200
0.5,1,2,22,0.59495,0.408466918634,200
0.5,1,2,23,0.5586,0.414636778749,200
0.5,1,2,24,0.524,0.416051069536,200
0.5,1,2,25,0.49275,0.415319623239,200
0.5,1,2,26,0.451,0.408730108394,200
0.5,1,2,27,0.41265,0.402741207104,200
0.5,1,2,28,0.38375,0.393080141304,200
0.5,1,2,29,0.35005,0.383242575739,200
0.5,1,2,30,0.3186,0.379824132803,200
0.5,2,0,1,1,0,200
0.5,2,0,2,1,0,200
0.5,2,0,3,1,0,200
0.5,2,0,4,1,0,200
0.5,2,0,5,1,0,200
0.5,2,0,6,1,0,200
0.5,2,0,7,1,0,200
0.5,2,0,8,1,0,200
0.5,2,0,9,1,0,200
0.5,2,0,10,1,0,200
0.5,2,0,11,1,0,200
0.5,2,0,12,1,0,200
0.5,2,0,13,0.9998,0.00140351317993,200
0.5,2,0,14,0.99905,0.00293950735968,200
0.5,2,0,15,0.99565,0.006541517965,200
0.5,2,0,16,0.98855,0.0114478279083,200
0.5,2,0,17,0.9786,0.015072354806,200
0.5,2,0,18,0.9626,0.0221742754665,200
0.5,2,0,19,0.9413,0.0263587541359,200
0.5,2,0,20,0.9163,0.0307577665152,200
0.5,2,0,21,0.8851,0.0320331172853,200
0.5,2,0,22,0.85065,0.0358539401618,200
0.5,2,0,23,0.8112,0.0411708048972,200
0.5,2,0,24,0.7657,0.0461645516511,200
0.5,2,0,25,0.7241,0.0458771573644,200
0.5,2,0,26,0.67895,0.0466182777363,200
0.5,2,0,27,0.63075,0.0476370015807,200
0.5,2,0,28,0.58115,0.0482161954901,200
0.5,2,0,29,0.53405,0.0482570327106,200
0.5,2,0,30,0.4883,0.0488676810505,200
0.5,2,1,1,1,0,200
0.5,2,1,2,1,0,200
0.5,2,1,3,1,0,200
0.5,2,1,4,1,0,200
0.5,2,1,5,1,0,200
0.5,2,1,6,1,0,200
0.5,2,1,7,1,0,200
0.5,2,1,8,0.99995,0.000707106781187,200
0.5,2,1,9,0.9999,0.00141421356237,200
0.5,2,1,10,0.99955,0.00451658028684,200
0.5,2,1,11,0.9986,0.0119058281408,200
0.5,2,1,12,0.9923,0.0535635629545,200
0.5,2,1,13,0.98775,0.0689507689784,200
0.5,2,1,14,0.9809,0.0828038185219,200
0.5,2,1,15,0.9691,0.0998450558409,200
0.5,2,1,16,0.9454,0.132679536088,200
0.5,2,1,17,0.9209,0.15450745213,200
0.5,2,1,18,0.88705,0.173601511873,200
0.5,2,1,19,0.8357,0.203708112197,200
0.5,2,1,20,0.78155,0.233350293114,200
0.5,2,1,21,0.72415,0.249548894515,200
0.5,2,1,22,0.66095,0.267182578307,200
0.5,2,1,23,0.59345,0.278675253629,200
0.5,2,1,24,0.52965,0.274518083907,200
0.5,2,1,25,0.4699,0.274138192786,200
0.5,2,1,26,0.40815,0.257635318399,200
0.5,2,1,27,0.34715,0.244238900881,200
0.5,2,1,28,0.29615,0.225503740958,200
0.5,2,1,29,0.2462,0.2096552806,200
0.5,2,1,30,0.20125,0.193471168304,200
0.5,2,2,1,1,0,200
0.5,2,2,2,1,0,200
0.5,2,2,3,1,0,200
0.5,2,2,4,0.99985,0.00121857483279,200
0.5,2,2,5,0.99,0.0650936704269,200
0.5,2,2,6,0.98745,0.0722572004376,200
0.5,2,2,7,0.9717,0.115236745605,200
0.5,2,2,8,0.9549,0.149672976853,200
0.5,2,2,9,0.9374,0.172921221207,200
0.5,2,2,10,0.9131,0.204188281425,200
0.5,2,2,11,0.87325,0.247126068981,200
0.5,2,2,12,0.8303,0.290694731868,200
0.5,2,2,13,0.78445,0.320721074359,200
0.5,2,2,14,0.73175,0.352606144253,200
0.5,2,2,15,0.67,0.383049126309,200
0.5,2,2,16,0.61575,0.399652408649,200
0.5,2,2,17,0.5806,0.407370092127,200
0.5,2,2,18,0.5289,0.414346721998,200
0.5,2,2,19,0.482,0.421204303547,200
0.5,2,2,20,0.43435,0.413624228633,200
0.5,2,2,21,0.3907,0.401816866209,200
0.5,2,2,22,0.33875,0.381325297367,200
0.5,2,2,23,0.2861,0.352927156634,200
0.5,2,2,24,0.24345,0.324903692727,200
0.5,2,2,25,0.2013,0.290899333293,200
0.5,2,2,26,0.16085,0.256316735396,200
0.5,2,2,27,0.12765,0.22262928038,200
0.5,2,2,28,0.09755,0.185947248963,200
0.5,2,2,29,0.07755,0.160578406466,200
