outcome,family,estimand_id,calibration_ratio,price_impact_lambda,transition,conditioning_intensity,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
mean_equity_loss,channel_interaction,interaction_funding_1_market_2,1,0.15,,,1,2,200,-5.15288917956e-05,4.01939412697e-06,-5.96462712921e-05,-4.43075578915e-05,-6.03544776486e-05,-4.27033059426e-05
mean_equity_loss,channel_interaction,interaction_funding_2_market_1,1,0.15,,,2,1,200,-0.000389293325719,2.37814902742e-05,-0.000435978864652,-0.000342932854927,-0.000441511540081,-0.000337075111356
mean_equity_loss,channel_interaction,interaction_funding_2_market_2,1,0.15,,,2,2,200,-0.000788399477983,4.80233515883e-05,-0.000882693811977,-0.000694657393868,-0.000893846766555,-0.000682952189411
mean_equity_loss,channel_interaction,interaction_funding_1_market_1,2,0,,,1,1,200,-5.3820215096e-05,3.72258846453e-06,-6.12809501734e-05,-4.67740134435e-05,-6.19940898272e-05,-4.56463403648e-05
mean_equity_loss,channel_interaction,interaction_funding_1_market_2,2,0,,,1,2,200,-0.000108593789864,7.49976136488e-06,-0.000123606782773,-9.44071943376e-05,-0.000125061393118,-9.21261866104e-05
mean_equity_loss,channel_interaction,interaction_funding_2_market_1,2,0,,,2,1,200,-0.000514809747282,2.94920642851e-05,-0.000572411692952,-0.000458023257543,-0.000579566956231,-0.000450052538332
mean_equity_loss,channel_interaction,interaction_funding_2_market_2,2,0,,,2,2,200,-0.00103768105895,5.93137671035e-05,-0.00115358017933,-0.000923184859353,-0.00116791928076,-0.000907442837143
mean_equity_loss,channel_interaction,interaction_funding_1_market_1,2,0.15,,,1,1,200,-6.18919418311e-05,4.28096957569e-06,-7.04716902074e-05,-5.37887673878e-05,-7.12918820537e-05,-5.24920016085e-05
mean_equity_loss,channel_interaction,interaction_funding_1_market_2,2,0.15,,,1,2,200,-0.000124880166166,8.6247103863e-06,-0.000142144905281,-0.000108565495224,-0.000143817876569,-0.000105942455763
mean_equity_loss,channel_interaction,interaction_funding_2_market_1,2,0.15,,,2,1,200,-0.000591994254068,3.39157539078e-05,-0.00065823752668,-0.000526690816124,-0.000666464780826,-0.00051752372731
mean_equity_loss,channel_interaction,interaction_funding_2_market_2,2,0.15,,,2,2,200,-0.00119325695383,6.82105685712e-05,-0.00132654308165,-0.00106158661833,-0.00134303033011,-0.00104348357755
mean_equity_loss,fire_sale_amplification_average,fire_sale_average_stressed_cells,0.5,,,,,,200,0.000772763777843,8.04122963334e-06,0.000757143710152,0.000788307044288,0.000755690186837,0.000789837368848
mean_equity_loss,fire_sale_amplification_average,fire_sale_average_stressed_cells,1,,,,,,200,0.00277684999968,1.74475822176e-05,0.00274337452466,0.00281079792112,0.00273980431184,0.00281389568751
mean_equity_loss,fire_sale_amplification_average,fire_sale_average_stressed_cells,2,,,,,,200,0.00578364879854,2.53655111396e-05,0.0057344947861,0.00583280240741,0.0057297913187,0.00583750627837
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_0_market_1,0.5,,,,0,1,200,0,0,0,0,0,0
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_0_market_2,0.5,,,,0,2,200,0,0,0,0,0,0
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_1_market_0,0.5,,,,1,0,200,7.69529153397e-05,2.38600466395e-06,7.23233397867e-05,8.17104148631e-05,7.1146382483e-05,8.27594481964e-05
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_1_market_1,0.5,,,,1,1,200,7.66372267962e-05,2.37470278432e-06,7.2030267536e-05,8.13972485713e-05,7.08581979659e-05,8.24162556264e-05
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_1_market_2,0.5,,,,1,2,200,7.63081706272e-05,2.36336044686e-06,7.17442442581e-05,8.107286109e-05,7.05567442807e-05,8.20595969736e-05
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_2_market_0,0.5,,,,2,0,200,0.00200055581332,2.04201599454e-05,0.0019603394946,0.00204157797789,0.00195086172368,0.00205024990297
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_2_market_1,0.5,,,,2,1,200,0.00198426943702,2.03132030019e-05,0.00194439302637,0.00202482462398,0.00193483563564,0.0020337032384
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_2_market_2,0.5,,,,2,2,200,0.00196738665964,2.0264219614e-05,0.00192726533011,0.00200680581459,0.00191807206324,0.00201670125603
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_0_market_1,1,,,,0,1,200,0,0,0,0,0,0
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_0_market_2,1,,,,0,2,200,0,0,0,0,0,0
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_1_market_0,1,,,,1,0,200,0.000679096872162,9.84741995925e-06,0.000659550730877,0.000698178422289,0.000655132389438,0.000703061354885
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_1_market_1,1,,,,1,1,200,0.000675783648511,9.80225617452e-06,0.000656653506701,0.000694788176326,0.000651929075464,0.000699638221559
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_1_market_2,1,,,,1,2,200,0.000672376272384,9.76244470888e-06,0.000653121434198,0.000691506107396,0.000648618583717,0.000696133961051
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_2_market_0,1,,,,2,0,200,0.00678036961006,3.95850884324e-05,0.00670073449777,0.00685917941447,0.00668403613674,0.00687670308337
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_2_market_1,1,,,,2,1,200,0.00672960722774,3.96986482239e-05,0.00664946783517,0.00680854738591,0.00663299739761,0.00682621705787
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_2_market_2,1,,,,2,2,200,0.00667756636655,4.00509603641e-05,0.00659638684338,0.00675620637321,0.00658009915669,0.0067750335764
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_0_market_1,2,,,,0,1,200,0,0,0,0,0,0
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_0_market_2,2,,,,0,2,200,0,0,0,0,0,0
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_1_market_0,2,,,,1,0,200,0.00200055581332,2.04201599454e-05,0.0019603394946,0.00204157797789,0.00195086172368,0.00205024990297
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_1_market_1,2,,,,1,1,200,0.00199248408659,2.03598056901e-05,0.00195261548345,0.00203344203383,0.00194293687384,0.00204203129933
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_1_market_2,2,,,,1,2,200,0.00198426943702,2.03132030019e-05,0.00194439302637,0.00202482462398,0.00193483563564,0.0020337032384
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_2_market_0,2,,,,2,0,200,0.0135082138177,5.06847483752e-05,0.0134067581429,0.0136083373217,0.0133848684357,0.0136315591997
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_2_market_1,2,,,,2,1,200,0.0134310293109,5.11094067921e-05,0.0133297081158,0.0135317307044,0.0133066504887,0.0135554081331
mean_equity_loss,fire_sale_amplification_cell,fire_sale_funding_2_market_2,2,,,,2,2,200,0.0133526379228,5.19058719183e-05,0.0132509939453,0.0134525773088,0.0132263208391,0.0134789550065
mean_equity_loss,funding_local_average,funding_0_to_1_average_market,0.5,0,0_to_1,,,,200,-2.1343649085e-06,2.28814303211e-07,-2.57720442304e-06,-1.6930641932e-06,-2.73158764716e-06,-1.53714216983e-06
mean_equity_loss,funding_local_average,funding_1_to_2_average_market,0.5,0,1_to_2,,,,200,-0.000107785553474,7.38967685586e-06,-0.000121969281101,-9.3047627112e-05,-0.000127073172245,-8.84979347026e-05
mean_equity_loss,funding_local_average,funding_0_to_1_average_market,0.5,0.15,0_to_1,,,,200,7.44984060125e-05,2.34371741378e-06,7.0110496896e-05,7.91196273619e-05,6.83811252618e-05,8.06156867632e-05
mean_equity_loss,funding_local_average,funding_1_to_2_average_market,0.5,0.15,1_to_2,,,,200,0.00179965231226,2.03250273481e-05,0.00176049058992,0.00184130477276,0.00174660244464,0.00185270217989
mean_equity_loss,funding_local_average,funding_0_to_1_average_market,1,0,0_to_1,,,,200,-2.22994993842e-05,1.75217408775e-06,-2.5667328354e-05,-1.87561644815e-05,-2.68728070516e-05,-1.77261917167e-05
mean_equity_loss,funding_local_average,funding_1_to_2_average_market,1,0,1_to_2,,,,200,-0.000319076226575,1.91642793888e-05,-0.000355965766632,-0.000280489393423,-0.000369096453722,-0.000269055999428
mean_equity_loss,funding_local_average,funding_0_to_1_average_market,1,0.15,0_to_1,,,,200,0.000653452764968,9.73054217439e-06,0.000635326963676,0.000673739609951,0.000628055309632,0.000678850220304
mean_equity_loss,funding_local_average,funding_1_to_2_average_market,1,0.15,1_to_2,,,,200,0.00573435257719,3.8961077069e-05,0.00566112585303,0.00581217836312,0.00563266120203,0.00583604395234
mean_equity_loss,funding_local_average,funding_0_to_1_average_market,2,0,0_to_1,,,,200,-5.41380016533e-05,3.73927393432e-06,-6.13202278829e-05,-4.66748432825e-05,-6.3897791091e-05,-4.43782122156e-05
mean_equity_loss,funding_local_average,funding_1_to_2_average_market,2,0,1_to_2,,,,200,-0.000463358933757,2.59688605867e-05,-0.000512422144733,-0.000411299152944,-0.000531139635496,-0.000395578232018
mean_equity_loss,funding_local_average,funding_0_to_1_average_market,2,0.15,0_to_1,,,,200,0.00193829844399,2.04244563748e-05,0.0018998039718,0.00198092595525,0.00188498905904,0.00199160782894
mean_equity_loss,funding_local_average,funding_1_to_2_average_market,2,0.15,1_to_2,,,,200,0.0109748316377,4.72049186462e-05,0.010885245994,0.0110715884667,0.0108516232089,0.0110980400666
mean_equity_loss,funding_local_cell,funding_0_to_1_given_market_0,0.5,0,0_to_1,0,,0,200,4.51860771022e-18,2.23481087883e-18,-3.46944695205e-20,8.91522966561e-18,-1.45088353905e-18,1.04880989595e-17
mean_equity_loss,funding_local_cell,funding_0_to_1_given_market_1,0.5,0,0_to_1,1,,1,200,-2.1046560985e-06,2.25099692401e-07,-2.55955333673e-06,-1.64959791884e-06,-2.70592874163e-06,-1.50338345537e-06
mean_equity_loss,funding_local_cell,funding_0_to_1_given_market_2,0.5,0,0_to_1,2,,2,200,-4.298438627e-06,4.59150032497e-07,-5.22566578032e-06,-3.36985437456e-06,-5.5248923404e-06,-3.0719849136e-06
mean_equity_loss,funding_local_cell,funding_1_to_2_given_market_0,0.5,0,1_to_2,0,,0,200,-1.45994327738e-18,3.90945224841e-18,-9.05955865882e-18,6.1900484738e-18,-1.19026349643e-17,8.98274840959e-18
mean_equity_loss,funding_local_cell,funding_1_to_2_given_market_1,0.5,0,1_to_2,1,,1,200,-0.000106489133765,7.13459972258e-06,-0.000120335278211,-9.22572562e-05,-0.000125546643738,-8.74316237925e-05
mean_equity_loss,funding_local_cell,funding_1_to_2_given_market_2,0.5,0,1_to_2,2,,2,200,-0.000216867526655,1.4485426509e-05,-0.000245099986943,-0.00018802734247,-0.000255560119217,-0.000178174934094
mean_equity_loss,funding_local_cell,funding_0_to_1_given_market_0,0.5,0.15,0_to_1,0,,0,200,7.69529153397e-05,2.52486286015e-06,7.2223138389e-05,8.18300358246e-05,7.02086548334e-05,8.36971758461e-05
mean_equity_loss,funding_local_cell,funding_0_to_1_given_market_1,0.5,0.15,0_to_1,1,,1,200,7.45325706977e-05,2.43541315118e-06,6.99645057095e-05,7.93248602237e-05,6.80272428276e-05,8.10378985677e-05
mean_equity_loss,funding_local_cell,funding_0_to_1_given_market_2,0.5,0.15,0_to_1,2,,2,200,7.20097320002e-05,2.36865859241e-06,6.75861941974e-05,7.6650182566e-05,6.5682714858e-05,7.83367491423e-05
mean_equity_loss,funding_local_cell,funding_1_to_2_given_market_0,0.5,0.15,1_to_2,0,,0,200,0.00192360289798,1.88402087317e-05,0.00188716270511,0.00196090994097,0.00187327807532,0.00197392772064
mean_equity_loss,funding_local_cell,funding_1_to_2_given_market_1,0.5,0.15,1_to_2,1,,1,200,0.00180114307646,1.93367298288e-05,0.00176257250454,0.00184026750761,0.00174949197676,0.00185279417615
mean_equity_loss,funding_local_cell,funding_1_to_2_given_market_2,0.5,0.15,1_to_2,2,,2,200,0.00167421096235,2.31070272189e-05,0.00162745121573,0.00171896066113,0.00161248887299,0.00173593305172
mean_equity_loss,funding_local_cell,funding_0_to_1_given_market_0,1,0,0_to_1,0,,0,200,3.98014954328e-18,2.70579926181e-18,-1.26579302595e-18,9.45382661045e-18,-3.24741730306e-18,1.12077163896e-17
mean_equity_loss,funding_local_cell,funding_0_to_1_given_market_1,1,0,0_to_1,1,,1,200,-2.20902061345e-05,1.70623579548e-06,-2.53931171284e-05,-1.86711189247e-05,-2.66477996861e-05,-1.75326125829e-05
mean_equity_loss,funding_local_cell,funding_0_to_1_given_market_2,1,0,0_to_1,2,,2,200,-4.4808292018e-05,3.4557118299e-06,-5.15012345628e-05,-3.78824862919e-05,-5.40389798243e-05,-3.55776042117e-05
