outcome,family,estimand_id,calibration_ratio,price_impact_lambda,transition,conditioning_intensity,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
mean_equity_loss,fire_sale_amplification_average,fire_sale_average_stressed_cells,2,,,,,,200,0.00578364879854,2.53655111396e-05,0.0057344947861,0.00583280240741,0.0057297913187,0.00583750627837
mean_equity_loss,funding_local_average,funding_0_to_1_average_market,0.5,0,0_to_1,,,,200,-2.1343649085e-06,2.28814303211e-07,-2.57720442304e-06,-1.6930641932e-06,-2.73158764716e-06,-1.53714216983e-06
mean_equity_loss,funding_local_average,funding_1_to_2_average_market,0.5,0,1_to_2,,,,200,-0.000107785553474,7.38967685586e-06,-0.000121969281101,-9.3047627112e-05,-0.000127073172245,-8.84979347026e-05
mean_equity_loss,funding_local_average,funding_0_to_1_average_market,0.5,0.15,0_to_1,,,,200,7.44984060125e-05,2.34371741378e-06,7.0110496896e-05,7.91196273619e-05,6.83811252618e-05,8.06156867632e-05
mean_equity_loss,funding_local_average,funding_1_to_2_average_market,0.5,0.15,1_to_2,,,,200,0.00179965231226,2.03250273481e-05,0.00176049058992,0.00184130477276,0.00174660244464,0.00185270217989
mean_equity_loss,funding_local_average,funding_0_to_1_average_market,1,0,0_to_1,,,,200,-2.22994993842e-05,1.75217408775e-06,-2.5667328354e-05,-1.87561644815e-05,-2.68728070516e-05,-1.77261917167e-05
mean_equity_loss,funding_local_average,funding_1_to_2_average_market,1,0,1_to_2,,,,200,-0.000319076226575,1.91642793888e-05,-0.000355965766632,-0.000280489393423,-0.000369096453722,-0.000269055999428
mean_equity_loss,funding_local_average,funding_0_to_1_average_market,1,0.15,0_to_1,,,,200,0.000653452764968,9.73054217439e-06,0.000635326963676,0.000673739609951,0.000628055309632,0.000678850220304
mean_equity_loss,funding_local_average,funding_1_to_2_average_market,1,0.15,1_to_2,,,,200,0.00573435257719,3.8961077069e-05,0.00566112585303,0.00581217836312,0.00563266120203,0.00583604395234
mean_equity_loss,funding_local_average,funding_0_to_1_average_market,2,0,0_to_1,,,,200,-5.41380016533e-05,3.73927393432e-06,-6.13202278829e-05,-4.66748432825e-05,-6.3897791091e-05,-4.43782122156e-05
mean_equity_loss,funding_local_average,funding_1_to_2_average_market,2,0,1_to_2,,,,200,-0.000463358933757,2.59688605867e-05,-0.000512422144733,-0.000411299152944,-0.000531139635496,-0.000395578232018
mean_equity_loss,funding_local_average,funding_0_to_1_average_market,2,0.15,0_to_1,,,,200,0.00193829844399,2.04244563748e-05,0.0018998039718,0.00198092595525,0.00188498905904,0.00199160782894
mean_equity_loss,funding_local_average,funding_1_to_2_average_market,2,0.15,1_to_2,,,,200,0.0109748316377,4.72049186462e-05,0.010885245994,0.0110715884667,0.0108516232089,0.0110980400666
mean_equity_loss,liquidity_minus_market,funding_minus_market_0_to_1,0.5,0,0_to_1,,,,200,-0.0963968279605,0.00356811141739,-0.103290104882,-0.0896091222701,-0.103378198753,-0.0894154571678
mean_equity_loss,liquidity_minus_market,funding_minus_market_1_to_2,0.5,0,1_to_2,,,,200,-0.0965382124845,0.00340582816163,-0.103026821795,-0.089954660446,-0.103202059677,-0.0898743652915
mean_equity_loss,liquidity_minus_market,funding_minus_market_0_to_1,0.5,0.15,0_to_1,,,,200,-0.096314661168,0.00356821656323,-0.10320737526,-0.0895255975549,-0.103296237689,-0.0893330846468
mean_equity_loss,liquidity_minus_market,funding_minus_market_1_to_2,0.5,0.15,1_to_2,,,,200,-0.0946250373409,0.00340659154999,-0.101119251602,-0.0880130066654,-0.10129037818,-0.0879596965014
mean_equity_loss,liquidity_minus_market,funding_minus_market_0_to_1,1,0,0_to_1,,,,200,-0.0722223183141,0.00268895888023,-0.0774150220133,-0.0671048726117,-0.0774835382687,-0.0669610983595
mean_equity_loss,liquidity_minus_market,funding_minus_market_1_to_2,1,0,1_to_2,,,,200,-0.0725368706629,0.00260663297112,-0.0775309263253,-0.067513762738,-0.0776370116516,-0.0674367296742
mean_equity_loss,liquidity_minus_market,funding_minus_market_0_to_1,1,0.15,0_to_1,,,,200,-0.0715285408478,0.00268920068448,-0.0767090047916,-0.0664105971532,-0.0767902339168,-0.0662668477787
mean_equity_loss,liquidity_minus_market,funding_minus_market_1_to_2,1,0.15,1_to_2,,,,200,-0.0664649591133,0.00260862712427,-0.071495604995,-0.0613949042507,-0.0715690018643,-0.0613609163624
mean_equity_loss,liquidity_minus_market,funding_minus_market_0_to_1,2,0,0_to_1,,,,200,-0.0480757670247,0.00180036574398,-0.0515512190071,-0.0446480420691,-0.0515983646544,-0.044553169395
mean_equity_loss,liquidity_minus_market,funding_minus_market_1_to_2,2,0,1_to_2,,,,200,-0.0484912313721,0.00177380554359,-0.051903749806,-0.0451119326565,-0.0519618612839,-0.0450206014602
mean_equity_loss,liquidity_minus_market,funding_minus_market_0_to_1,2,0.15,0_to_1,,,,200,-0.0460549118345,0.00180037786963,-0.0495159824057,-0.0426310584541,-0.0495775331893,-0.0425322904798
mean_equity_loss,liquidity_minus_market,funding_minus_market_1_to_2,2,0.15,1_to_2,,,,200,-0.0370241721214,0.0017764890318,-0.0404330535693,-0.0335938696362,-0.0405000525493,-0.0335482916935
mean_equity_loss,market_local_average,market_0_to_1_average_funding,0.5,0,0_to_1,,,,200,0.0963946935956,0.00359989192452,0.0892799649244,0.103430208224,0.0892603198599,0.103529067331
mean_equity_loss,market_local_average,market_1_to_2_average_funding,0.5,0,1_to_2,,,,200,0.096430426931,0.00343503130016,0.0896348205383,0.103112544133,0.0896227789229,0.103238074939
mean_equity_loss,market_local_average,market_0_to_1_average_funding,0.5,0.15,0_to_1,,,,200,0.096389159574,0.00359970178,0.0892745794276,0.103424431433,0.0892551626724,0.103523156476
mean_equity_loss,market_local_average,market_1_to_2_average_funding,0.5,0.15,1_to_2,,,,200,0.0964246896531,0.00343483660273,0.0896291847024,0.103106423919,0.0896174275022,0.103231951804
mean_equity_loss,market_local_average,market_0_to_1_average_funding,1,0,0_to_1,,,,200,0.0722000188148,0.00271194072622,0.0668325047079,0.0775112275457,0.0668254133833,0.0775746242462
mean_equity_loss,market_local_average,market_1_to_2_average_funding,1,0,1_to_2,,,,200,0.0722177944363,0.00261996990866,0.0670325167208,0.0773436183248,0.0670254595283,0.0774101293443
mean_equity_loss,market_local_average,market_0_to_1_average_funding,1,0.15,0_to_1,,,,200,0.0721819936128,0.00271131005616,0.0668151646295,0.0774924125381,0.0668086380622,0.0775553491634
mean_equity_loss,market_local_average,market_1_to_2_average_funding,1,0.15,1_to_2,,,,200,0.0721993116905,0.00261933009105,0.0670143245766,0.0773236696529,0.0670082447922,0.0773903785888
mean_equity_loss,market_local_average,market_0_to_1_average_funding,2,0,0_to_1,,,,200,0.048021629023,0.00181417814374,0.0444259847504,0.0515813620542,0.0444262363912,0.0516170216548
mean_equity_loss,market_local_average,market_1_to_2_average_funding,2,0,1_to_2,,,,200,0.0480278724383,0.00177362848236,0.0445143720773,0.0514857618499,0.0445128423411,0.0515429025356
