sensitivity,outcome,scenario,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
cash_buffer,worst_10pct_mean_equity_loss,low,0,0,100,2.19824158876e-17,2.8884700549e-18,1.62092561595e-17,2.75335310107e-17,1.48244341741e-17,2.91403976011e-17
cash_buffer,worst_10pct_mean_equity_loss,low,0,1,100,0.0871010966579,0.00501199493372,0.077560101128,0.0973637305744,0.0746807608393,0.0995214324765
cash_buffer,worst_10pct_mean_equity_loss,low,0,2,100,0.174335352727,0.00988314468619,0.155517402589,0.194375348664,0.149843712657,0.198826992796
cash_buffer,worst_10pct_mean_equity_loss,low,1,0,100,0.00584803885951,2.89898812159e-05,0.00579114292055,0.00590406932458,0.00577619839183,0.00591987932718
cash_buffer,worst_10pct_mean_equity_loss,low,1,1,100,0.0928071580331,0.00500222086439,0.0832843038604,0.103035007034,0.0804110435525,0.105203272514
cash_buffer,worst_10pct_mean_equity_loss,low,1,2,100,0.179895415736,0.00986518453858,0.161094663275,0.19993417549,0.155448283107,0.204342548365
cash_buffer,worst_10pct_mean_equity_loss,low,2,0,100,0.0200169847358,5.78905669012e-05,0.0199030389566,0.0201270356537,0.0198735248379,0.0201604446337
cash_buffer,worst_10pct_mean_equity_loss,low,2,1,100,0.105939049191,0.00494466000671,0.0965130720721,0.116029689571,0.0936855775483,0.118192520833
cash_buffer,worst_10pct_mean_equity_loss,low,2,2,100,0.191969633963,0.0097501750211,0.173476417898,0.211853258977,0.167807508971,0.216131758956
cash_buffer,worst_10pct_mean_equity_loss,reference,0,0,100,5.0404125318e-17,4.49751735274e-18,4.19664303309e-17,5.97299987249e-17,3.92587278047e-17,6.15495228313e-17
cash_buffer,worst_10pct_mean_equity_loss,reference,0,1,100,0.0835459498556,0.00480742371194,0.0743943827146,0.0933897007551,0.0716325665193,0.0954593331918
cash_buffer,worst_10pct_mean_equity_loss,reference,0,2,100,0.167219624044,0.00947975102552,0.149169753504,0.186441660963,0.143727642753,0.190711605335
cash_buffer,worst_10pct_mean_equity_loss,reference,1,0,100,4.90456659776e-08,2.8597278889e-08,5.82756065626e-16,1.11486494193e-07,-2.18218851666e-08,1.19913217122e-07
cash_buffer,worst_10pct_mean_equity_loss,reference,1,1,100,0.0835459989012,0.00480742081453,0.0743944389596,0.0933897739649,0.0716326227452,0.0954593750573
cash_buffer,worst_10pct_mean_equity_loss,reference,1,2,100,0.16721967309,0.00947974812002,0.149169809711,0.186441709662,0.143727698999,0.19071164718
cash_buffer,worst_10pct_mean_equity_loss,reference,2,0,100,0.00444968809478,4.46746355393e-05,0.0043637152036,0.00453866067499,0.00433897888951,0.00456039730006
